RESOLUTION:3120,2080
1753619471.642,539,1520
1753619471.664,540,1520
1753619471.673,541,1520
1753619471.69,543,1520
1753619471.69,543,1518
1753619471.69,544,1518
1753619471.705,546,1517
1753619471.721,547,1517
1753619471.736,548,1516
1753619471.752,549,1516
1753619471.752,550,1516
1753619471.767,551,1515
1753619471.767,552,1514
1753619471.783,553,1514
1753619471.783,553,1513
1753619471.799,555,1513
1753619471.799,556,1513
1753619471.814,556,1512
1753619471.83,557,1512
1753619471.861,557,1510
1753619471.877,558,1510
1753619471.892,558,1509
1753619471.908,558,1508
1753619471.908,559,1508
1753619471.924,560,1507
1753619471.939,560,1506
1753619471.955,561,1505
1753619471.955,563,1505
1753619471.955,563,1504
1753619471.971,564,1502
1753619471.986,564,1501
1753619471.986,565,1501
1753619471.986,566,1500
1753619472.002,566,1499
1753619472.002,566,1498
1753619472.017,567,1497
1753619472.033,568,1497
1753619472.033,568,1496
1753619472.049,569,1494
1753619472.064,571,1493
1753619472.08,571,1492
1753619472.08,572,1491
1753619472.08,572,1490
1753619472.08,573,1489
1753619472.095,574,1488
1753619472.095,575,1487
1753619472.111,576,1485
1753619472.111,576,1484
1753619472.127,577,1483
1753619472.127,579,1482
1753619472.142,580,1481
1753619472.158,580,1480
1753619472.158,581,1479
1753619472.174,582,1477
1753619472.206,582,1476
1753619472.222,583,1476
1753619472.238,583,1475
1753619472.252,584,1474
1753619472.268,584,1473
1753619472.268,585,1472
1753619472.283,586,1471
1753619472.283,586,1469
1753619472.299,588,1469
1753619472.299,588,1468
1753619472.315,589,1467
1753619472.346,590,1466
1753619472.38,591,1465
1753619472.393,591,1464
1753619472.423,592,1463
1753619472.456,593,1461
1753619472.459,593,1460
1753619472.472,594,1460
1753619472.473,594,1459
1753619472.481,596,1458
1753619472.483,597,1457
1753619472.497,598,1456
1753619472.513,598,1455
1753619472.53,599,1454
1753619472.538,600,1454
1753619472.567,600,1452
1753619472.598,600,1451
1753619472.598,601,1451
1753619472.613,601,1450
1753619472.645,602,1450
1753619472.645,602,1449
1753619472.645,604,1449
1753619472.691,604,1448
1753619472.707,607,1444
1753619472.707,608,1444
1753619472.723,608,1443
1753619472.738,609,1443
1753619472.74,609,1442
1753619472.754,610,1442
1753619472.77,611,1441
1753619472.785,613,1441
1753619472.785,613,1440
1753619472.801,614,1440
1753619472.816,614,1439
1753619472.817,615,1439
1753619472.85,615,1439
1753619472.864,616,1439
1753619472.895,617,1439
1753619472.911,618,1439
1753619472.926,619,1439
1753619472.942,621,1439
1753619472.989,622,1439
1753619473.02,623,1438
1753619473.02,624,1438
1753619473.036,625,1435
1753619473.054,626,1435
1753619473.054,626,1434
1753619473.067,628,1434
1753619473.083,629,1434
1753619473.083,630,1433
1753619473.114,631,1432
1753619473.13,632,1432
1753619473.13,633,1431
1753619473.161,634,1431
1753619473.175,634,1429
1753619473.193,636,1429
1753619473.193,636,1428
1753619473.225,637,1428
1753619473.257,638,1428
1753619473.272,639,1428
1753619473.287,639,1427
1753619473.303,640,1427
1753619473.334,641,1427
1753619473.334,641,1426
1753619473.35,642,1426
1753619473.365,643,1426
1753619473.384,643,1425
1753619473.39,645,1425
1753619473.413,646,1425
1753619473.42,647,1425
1753619473.444,648,1425
1753619473.444,649,1424
1753619473.46,650,1424
1753619473.476,651,1424
1753619473.476,651,1423
1753619473.491,653,1423
1753619473.507,654,1423
1753619473.554,655,1423
1753619473.738,655,1423
1753619473.742,654,1423
1753619473.775,652,1423
1753619473.778,651,1423
1753619473.789,650,1424
1753619473.808,649,1424
1753619473.808,647,1424
1753619473.821,645,1425
1753619473.821,643,1425
1753619473.852,642,1426
1753619473.852,640,1427
1753619473.868,638,1428
1753619473.883,636,1428
1753619473.883,636,1430
1753619473.899,634,1430
1753619473.9,633,1431
1753619473.9,631,1432
1753619473.915,630,1433
1753619473.915,629,1433
1753619473.93,628,1433
1753619473.93,628,1434
1753619473.93,627,1434
1753619473.946,627,1435
1753619473.946,626,1435
1753619473.977,626,1436
1753619473.977,625,1436
1753619474.025,625,1438
1753619474.026,625,1439
1753619474.04,623,1439
1753619474.087,622,1439
1753619474.103,622,1440
1753619474.118,621,1440
1753619474.149,621,1441
1753619474.149,620,1441
1753619474.165,619,1442
1753619474.181,618,1442
1753619474.181,618,1443
1753619474.21,617,1443
1753619474.213,615,1443
1753619474.216,614,1444
1753619474.228,613,1445
1753619474.228,612,1447
1753619474.243,611,1448
1753619474.247,610,1449
1753619474.274,609,1450
1753619474.274,606,1452
1753619474.274,605,1453
1753619474.29,604,1455
1753619474.305,603,1456
1753619474.305,603,1457
1753619474.321,602,1457
1753619474.337,602,1458
1753619474.352,602,1459
1753619474.395,602,1460
1753619474.4,602,1461
1753619474.415,602,1463
1753619474.431,602,1464
1753619474.448,602,1465
1753619474.501,602,1466
1753619474.511,602,1467
1753619474.521,601,1467
1753619474.527,600,1468
1753619474.543,600,1469
1753619474.544,598,1471
1753619474.544,598,1472
1753619474.544,597,1474
1753619474.558,596,1475
1753619474.558,595,1478
1753619474.572,595,1479
1753619474.572,594,1480
1753619474.588,592,1481
1753619474.604,591,1482
1753619474.619,591,1483
1753619474.62,590,1485
1753619474.623,589,1485
1753619474.648,588,1486
1753619474.651,588,1487
